,BTCUSDT_open,BTCUSDT_high,BTCUSDT_low,BTCUSDT_close,EMA10gtEMA30,ClGtEMA10,MACD,RSI,%K,%R,PROC,return,class
0,3701.23,3810.16,3642.0,3797.14,-1,-1,0.0,,,,,0.016175331960370132,1
1,3796.45,3882.14,3750.45,3858.56,1,1,-0.6124501424500421,100.0,,,,-0.023786075634433468,0
2,3857.57,3862.74,3730.0,3766.78,-1,-1,1.0952221783313467,89.6904205607477,,,,0.006698028554892987,1
3,3767.2,3823.64,3703.57,3792.01,-1,-1,0.8465208291900398,89.99575729016617,,,,0.0,0
4,3767.2,3823.64,3703.57,3792.01,-1,-1,0.646449410863398,89.99575729016617,,,,-0.005551145698455495,0
5,3790.09,3840.99,3751.0,3770.96,-1,-1,1.1411527305329867,87.48853151747987,,,,0.05744956191526818,1
6,3771.12,4027.71,3740.0,3987.6,1,1,-6.067046786291376,90.44032394146053,,,0.05015880373122931,-0.0030469455311465943,0
7,3987.62,4017.9,3921.53,3975.45,1,1,-8.80348527022571,89.1696996735458,,,0.03029368469066177,-0.005111371039756452,0
8,3976.76,4069.8,3903.0,3955.13,1,1,-8.788313432256981,86.9690452557648,,,0.05000292026611586,0.0029126729083495118,1
9,3955.45,4006.81,3930.04,3966.65,1,1,-8.55350342949385,87.16247765361207,,,0.04605473086832573,0.0,0
10,3955.45,4006.81,3930.04,3966.65,1,1,-7.753386881524722,87.16247765361207,,,0.04605473086832573,-0.09599284030605171,0
11,3966.06,3996.01,3540.0,3585.88,-1,-1,9.746664774189055,55.55194287404497,,,-0.04908034028470202,0.004302988387787643,1
12,3585.88,3658.0,3465.0,3601.31,-1,-1,18.772300483473643,56.244448528089656,,,-0.09687280569766275,-0.005048163029564234,0
13,3601.31,3618.19,3530.0,3583.13,-1,-1,23.844743396911305,55.15411073865332,19.532076719576732,-80.46792328042326,-0.09868568338175546,-0.029672381409549753,0
14,3584.1,3611.1,3441.3,3476.81,-1,-1,30.43497107680441,49.152931498413786,5.649960222752548,-94.35003977724745,-0.12093660638209114,0.04293590964130911,1
15,3477.56,3671.87,3467.02,3626.09,-1,-1,25.335521461275665,56.33661875978481,29.40175019888623,-70.59824980111377,-0.08585582292362572,0.0,0
16,3477.56,3671.87,3467.02,3626.09,-1,-1,20.617374667013557,56.33661875978482,29.40175019888623,-70.59824980111377,-0.08585582292362572,-0.02014015096150401,0
17,3626.08,3648.42,3516.62,3553.06,-1,-1,20.01716219547492,52.15587300069562,17.782020684168618,-82.21797931583139,-0.009152565060738273,0.010914535639702239,1
18,3553.06,3645.0,3543.51,3591.84,-1,-1,16.275509542812173,54.10362024236283,23.95226730310262,-76.04773269689737,-0.0026295986738158615,0.006784823377433247,1
19,3591.84,3634.7,3530.39,3616.21,-1,-1,11.496656354803015,55.33420474665387,27.829753381066006,-72.17024661893399,0.009232151777914819,-0.005901205958724787,0
20,3613.32,3620.0,3565.75,3594.87,-1,-1,8.709105939394043,53.96960336287174,24.434367541766065,-75.56563245823394,0.03395641406921861,0.0195918072141692,1
21,3594.87,3720.0,3594.23,3665.3,-1,1,2.383369021084569,57.67910003502389,35.64041368337311,-64.35958631662689,0.010813300276606493,0.0,0
22,3594.87,3720.0,3594.23,3665.3,-1,1,-2.0232722712161717,57.67910003502389,39.610263302152056,-60.389736697847944,0.010813300276606493,-0.03438190598313917,0
23,3665.75,3693.73,3475.0,3539.28,-1,-1,1.921951454761924,49.41525013443863,17.32595356403955,-82.67404643596045,-0.0038783471148811856,-0.003497886575800746,0
24,3539.26,3559.51,3475.5,3526.9,-1,-1,4.6029563622259815,48.677418392346844,15.431486722792073,-84.56851327720793,-0.01807986992739099,0.012484051149734832,1
25,3526.88,3608.5,3434.85,3570.93,-1,-1,3.187892309994851,51.453710161386255,47.72225144660701,-52.27774855339299,-0.012521396710921158,-0.005071507982514323,0
26,3570.41,3607.98,3514.5,3552.82,-1,-1,2.790713338492907,50.24966106373721,41.37120813606881,-58.62879186393119,-0.011697224099897834,0.004728638095935045,1
27,3552.97,3589.0,3529.22,3569.62,-1,-1,1.0565345638457941,51.38614442542192,47.262844117131316,-52.737155882868684,-0.02610427522985848,0.0,0
28,3552.97,3589.0,3529.22,3569.62,-1,-1,-0.46046992576088286,51.38614442542192,47.262844117131316,-52.737155882868684,-0.02610427522985848,-0.0012130142704265268,0
29,3569.07,3587.15,3522.51,3565.29,-1,-1,-1.5085356461776556,51.037642146798696,45.74434508153604,-54.25565491846396,0.007348952329287246,-1.1219283704844152e-05,0
30,3566.69,3662.94,3545.0,3565.25,-1,-1,-2.453646837872313,51.03419882455245,45.73031737681924,-54.26968262318076,0.01087357169185401,-0.004041792300680136,0
31,3565.62,3579.0,3486.0,3550.84,-1,-1,-2.432442509410258,49.73248388452595,40.676836752586425,-59.323163247413575,-0.005625985387560017,-0.03286264658503346,0
32,3550.05,3557.75,3380.27,3434.15,-1,-1,4.260823095589032,40.68303255349362,15.859653254054722,-84.14034674594528,-0.03340163588360797,-0.006729467262641453,0
